Target,Postal Code,Latitude Dgr,Longitude Dgr
1962,28425,34.5624,-77.9178
1963,86305,34.5656,-112.4861
1964,86404,34.5716,-114.3681
1965,72015,34.5775,-92.5802
1966,30528,34.5791,-83.759
1967,71953,34.5886,-94.2259
1968,35601,34.5889,-86.9819
1969,86314,34.5925,-112.3414
1970,73505,34.5958,-98.4388
1971,93551,34.6116,-118.1446
1972,93551,34.6142,-118.2001
1973,35803,34.6159,-86.5707
1974,29645,34.6179,-82.1216
1975,73505,34.6188,-98.4244
1976,28358,34.6235,-79.0424
1977,72022,34.6242,-92.4945
1978,38668,34.6293,-89.9718
1979,28337,34.6307,-78.62
1980,71909,34.6324,-93.0558
1981,73505,34.6324,-98.4714
1982,28358,34.6358,-78.9835
1983,29512,34.6389,-79.7042
1984,35802,34.6473,-86.5416
1985,30540,34.6564,-84.4882
1986,35763,34.6573,-86.4857
1987,93436,34.6629,-120.4652
1988,28358,34.664,-79.0057
1989,73521,34.6642,-99.3313
1990,72209,34.6671,-92.3771
1991,35768,34.6684,-86.0058
1992,28372,34.6701,-79.1838
1993,72210,34.6733,-92.4185
1994,38829,34.6774,-88.5642
1995,35758,34.6838,-86.7411
1996,29678,34.6899,-82.9989
1997,93535,34.6925,-118.0977
1998,93536,34.6938,-118.174
1999,35748,34.6953,-86.3691
2000,29631,34.6968,-82.8011
2001,87002,34.6972,-106.7683
2002,29706,34.6997,-81.1919
2003,29706,34.6998,-81.1925
2004,28584,34.7007,-77.1493
2005,29520,34.7012,-79.9313
2006,35801,34.703,-86.5854
2007,29630,34.7057,-82.7623
2008,35801,34.7063,-86.5909
2009,29680,34.712,-82.2521
2010,86326,34.7129,-112.0013
2011,35805,34.7136,-86.6249
2012,29680,34.7228,-82.2934
2013,38663,34.7237,-88.9509
2014,29379,34.7272,-81.6414
2015,77591,34.7282,-81.6407
2016,72211,34.7283,-92.3983
2017,72205,34.7284,-92.3978
2018,29720,34.7343,-80.7848
2019,28557,34.7348,-76.8116
2020,73075,34.7367,-97.2488
2021,28466,34.7392,-77.9689
2022,44301,34.7401,-77.9698
2023,30728,34.7463,-85.2734
2024,38635,34.7466,-89.4591
2025,35806,34.747,-86.6758
2026,35661,34.7479,-87.6737
2027,72211,34.7483,-92.4105
